date,registration_today,registration_total,sessions_today,sessions_total,month_name,day_name
2021-03-08,1428001.0,25621639.0,0.0,4951076.0,March,Monday
2021-03-09,927284.0,26567141.0,0.0,3632230.0,March,Tuesday
2021-03-10,929288.0,27505538.0,0.0,3712590.0,March,Wednesday
2021-03-11,341310.0,27854404.0,0.0,2074307.0,March,Thursday
2021-03-12,1513079.0,29371213.0,0.0,5428928.0,March,Friday
2021-03-13,1152398.0,30540913.0,0.0,4500722.0,March,Saturday
2021-03-14,146900.0,30699271.0,0.0,935045.0,March,Sunday
2021-03-15,1959637.0,32660440.0,0.0,6451678.0,March,Monday
2021-03-16,1582967.0,34393612.0,0.0,5366679.0,March,Tuesday
2021-03-17,1767505.0,39757118.0,0.0,5183313.0,March,Wednesday
2021-03-18,1880572.0,41720942.0,0.0,5880856.0,March,Thursday
2021-03-19,2079698.0,43957263.0,0.0,6385874.0,March,Friday
2021-03-20,1950940.0,46181761.0,0.0,6470646.0,March,Saturday
2021-03-21,591592.0,47092948.0,0.0,1919521.0,March,Sunday
2021-03-22,2477864.0,49587225.0,0.0,7458801.0,March,Monday
2021-03-23,2053476.0,51783984.0,0.0,6325666.0,March,Tuesday
2021-03-24,2152311.0,53954860.0,0.0,6309312.0,March,Wednesday
2021-03-25,2205067.0,56173947.0,0.0,6810937.0,March,Thursday
2021-03-26,2350594.0,58539085.0,0.0,7290723.0,March,Friday
2021-03-27,2058304.0,60680619.0,0.0,6515557.0,March,Saturday
2021-03-28,385518.0,61072608.0,0.0,2724106.0,March,Sunday
2021-03-29,619759.0,61694397.0,0.0,3614098.0,March,Monday
2021-03-30,1711109.0,63428190.0,0.0,6935955.0,March,Tuesday
2021-03-31,1870410.0,65304382.0,0.0,7622285.0,March,Wednesday
2021-04-01,2217607.0,67530290.0,0.0,8582019.0,April,Thursday
2021-04-02,2658787.0,70895953.0,0.0,7771995.0,April,Friday
2021-04-03,2495825.0,73583771.0,0.0,8028771.0,April,Saturday
2021-04-04,1456336.0,75209848.0,0.0,6779834.0,April,Sunday
2021-04-05,2880162.0,78322625.0,0.0,9947093.0,April,Monday
2021-04-06,3466416.0,184811384.0,0.0,8708024.0,April,Tuesday
2021-04-07,2302833.0,81724114.0,0.0,8870978.0,April,Wednesday
2021-04-08,3478960.0,85773505.0,0.0,9913258.0,April,Thursday
2021-04-09,3275849.0,89059305.0,0.0,9969009.0,April,Friday
2021-04-10,3129105.0,92196819.0,0.0,8710763.0,April,Saturday
2021-04-11,2473897.0,94683796.0,0.0,9729980.0,April,Sunday
2021-04-12,3465681.0,98158177.0,0.0,10664088.0,April,Monday
2021-04-13,2395765.0,100564402.0,0.0,10046908.0,April,Tuesday
2021-04-14,2931798.0,103503797.0,0.0,10786962.0,April,Wednesday
2021-04-15,2120657.0,105633919.0,0.0,9771019.0,April,Thursday
2021-04-16,2083053.0,107785450.0,0.0,9780485.0,April,Friday
2021-04-17,2036840.0,109828875.0,0.0,8521217.0,April,Saturday
2021-04-18,959570.0,110794148.0,0.0,8395934.0,April,Sunday
2021-04-19,2286707.0,113085268.0,0.0,10632658.0,April,Monday
2021-04-20,1983494.0,115075284.0,0.0,10163007.0,April,Tuesday
2021-04-21,1529535.0,116610178.0,0.0,9537781.0,April,Wednesday
2021-04-22,1935634.0,118550753.0,0.0,10459336.0,April,Thursday
2021-04-23,1933577.0,120552994.0,0.0,9772224.0,April,Friday
2021-04-24,1647809.0,122206963.0,0.0,8300170.0,April,Saturday
2021-04-25,744451.0,130345554.0,0.0,5844983.0,April,Sunday
2021-04-26,2505488.0,132857857.0,0.0,9725885.0,April,Monday
2021-04-27,1916192.0,134783787.0,0.0,9192384.0,April,Tuesday
2021-04-28,13267272.0,148067697.0,0.0,8123540.0,April,Wednesday
2021-04-29,9951640.0,158474399.0,0.0,8593203.0,April,Thursday
2021-04-30,5457173.0,163756029.0,0.0,8996730.0,April,Friday
2021-05-01,4944206.0,168823560.0,0.0,8022399.0,May,Saturday
2021-05-02,2612363.0,171456771.0,0.0,5396932.0,May,Sunday
2021-05-03,3425240.0,174735677.0,0.0,8814219.0,May,Monday
2021-05-04,3157817.0,177951424.0,0.0,8034995.0,May,Tuesday
2021-05-05,3281689.0,181288163.0,0.0,8424665.0,May,Wednesday
2021-05-06,3466416.0,184811384.0,0.0,8708024.0,May,Thursday
2021-05-07,2989269.0,187851699.0,0.0,8244108.0,May,Friday
2021-05-08,3170798.0,191070066.0,0.0,8362691.0,May,Saturday
2021-05-09,2646216.0,193769891.0,0.0,5437733.0,May,Sunday
2021-05-10,3841130.0,197663279.0,0.0,8215415.0,May,Monday
2021-05-11,3648932.0,201373830.0,0.0,7848368.0,May,Tuesday
2021-05-12,3078746.0,204508918.0,0.0,7572978.0,May,Wednesday
2021-05-13,2751482.0,207307253.0,0.0,7238072.0,May,Thursday
2021-05-14,2258069.0,209602587.0,0.0,5861579.0,May,Friday
2021-05-15,2743548.0,212382543.0,0.0,7183448.0,May,Saturday
2021-05-16,2583566.0,215012238.0,0.0,4278089.0,May,Sunday
2021-05-17,2698010.0,217747804.0,0.0,8089861.0,May,Monday
2021-05-18,2448368.0,220229802.0,0.0,7311249.0,May,Tuesday
2021-05-19,2198314.0,222457058.0,0.0,6683984.0,May,Wednesday
2021-05-20,2218110.0,224705045.0,0.0,7547217.0,May,Thursday
2021-05-21,2414329.0,227150674.0,0.0,7425242.0,May,Friday
2021-05-22,2537043.0,229721764.0,0.0,8649098.0,May,Saturday
2021-05-23,2210379.0,231968425.0,0.0,5338956.0,May,Sunday
2021-05-24,2826412.0,234827993.0,0.0,9601152.0,May,Monday
2021-05-25,2538701.0,237392405.0,0.0,9133572.0,May,Tuesday
2021-05-26,2536445.0,234657238.0,0.0,9309344.0,May,Wednesday
2021-05-27,3294797.0,237977091.0,0.0,10482875.0,May,Thursday
2021-05-28,3388172.0,241402939.0,0.0,11340655.0,May,Friday
2021-05-29,3091626.0,243619132.0,0.0,11069278.0,May,Saturday
2021-05-30,2052041.0,245696236.0,0.0,5941306.0,May,Sunday
2021-05-31,2973547.0,248693334.0,0.0,10623839.0,May,Monday
2021-06-01,2744966.0,251468806.0,0.0,9930062.0,June,Tuesday
